category,job_name,path,rescued_exceptions,any_raise
"rescue_no_raise","BioSubmissionStatusReportJob","app/sidekiq/bio_submission_status_report_job.rb","=> e | => e","false"
"rescue_no_raise","DeleteOldTransactionsJob","app/sidekiq/delete_old_transactions_job.rb","ActiveRecord::RecordNotDestroyed => e","false"
"rescue_no_raise","EducationForm::FormattingError::Create10203ApplicantDecisionLetters","app/sidekiq/education_form/create10203_applicant_decision_letters.rb","=> e","false"
"rescue_no_raise","EducationForm::FormattingError::DailySpoolFileError::CreateDailySpoolFiles","app/sidekiq/education_form/create_daily_spool_files.rb","=> e | => e | => e","false"
"rescue_no_raise","EducationForm::DeleteOldEducationBenefitsClaims","app/sidekiq/education_form/delete_old_education_benefits_claims.rb","=> e","false"
"rescue_no_raise","EducationForm::FormattingError::Process10203EVSSError::Process10203Submissions","app/sidekiq/education_form/process10203_submissions.rb","=> e","false"
"rescue_no_raise","EducationForm::SendSchoolCertifyingOfficialsEmail","app/sidekiq/education_form/send_school_certifying_officials_email.rb","Common::Exceptions::RecordNotFound","false"
"rescue_no_raise","EVSS::DisabilityCompensationForm::SubmitForm526","app/sidekiq/evss/disability_compensation_form/submit_form526.rb","=> e | => e | => e | => e | => e | => e | => e | Common::Exceptions::BackendServiceException, | EVSS::DisabilityCompensationForm::ServiceException => e | => e","false"
"rescue_no_raise","EVSS::DocumentUpload","app/sidekiq/evss/document_upload.rb","=> e | => e","false"
"rescue_no_raise","EVSS::FailureNotification","app/sidekiq/evss/failure_notification.rb","=> e","false"
"rescue_no_raise","Form0781StateSnapshotJob","app/sidekiq/form0781_state_snapshot_job.rb","=> e","false"
"rescue_no_raise","Form1095::New1095BsJob","app/sidekiq/form1095/new1095_bs_job.rb","=> e | => e","false"
"rescue_no_raise","Form526FailureStateSnapshotJob","app/sidekiq/form526_failure_state_snapshot_job.rb","=> e","false"
"rescue_no_raise","Form526NewConditionsStateSnapshotJob","app/sidekiq/form526_new_conditions_state_snapshot_job.rb","=> e","false"
"rescue_no_raise","Form526ParanoidSuccessPollingJob","app/sidekiq/form526_paranoid_success_polling_job.rb","=> e","false"
"rescue_no_raise","Form526StatusPollingJob","app/sidekiq/form526_status_polling_job.rb","=> e","false"
"rescue_no_raise","Form526SubmissionProcessingReportJob","app/sidekiq/form526_submission_processing_report_job.rb","=> e","false"
"rescue_no_raise","KmsKeyRotation::RotateKeysJob","app/sidekiq/kms_key_rotation/rotate_keys_job.rb","=> e","false"
"rescue_no_raise","Lighthouse::CreateIntentToFileJob::MissingICNError::MissingParticipantIDError::FormNotFoundError::InvalidITFTypeError","app/sidekiq/lighthouse/create_intent_to_file_job.rb","Common::Exceptions::ResourceNotFound | => e","false"
"rescue_no_raise","Lighthouse::EvidenceSubmissions::DeleteEvidenceSubmissionRecordsJob","app/sidekiq/lighthouse/evidence_submissions/delete_evidence_submission_records_job.rb","=> e","false"
"rescue_no_raise","Lighthouse::EvidenceSubmissions::DocumentUpload","app/sidekiq/lighthouse/evidence_submissions/document_upload.rb","=> e | => e","false"
"rescue_no_raise","Lighthouse::EvidenceSubmissions::EvidenceSubmissionDocumentUploadPollingJob","app/sidekiq/lighthouse/evidence_submissions/evidence_submission_document_upload_polling_job.rb","Faraday::ResourceNotFound => e","false"
"rescue_no_raise","Lighthouse::EvidenceSubmissions::FailureNotificationEmailJob","app/sidekiq/lighthouse/evidence_submissions/failure_notification_email_job.rb","=> e","false"
"rescue_no_raise","Lighthouse::FailureNotification","app/sidekiq/lighthouse/failure_notification.rb","=> e","false"
"rescue_no_raise","Lighthouse::Form526DocumentUploadPollingJob","app/sidekiq/lighthouse/form526_document_upload_polling_job.rb","=> e | Faraday::ResourceNotFound => e","false"
"rescue_no_raise","MHV::AccountCreatorJob","app/sidekiq/mhv/account_creator_job.rb","ActiveRecord::RecordNotFound","false"
"rescue_no_raise","MHV::PhrUpdateJob","app/sidekiq/mhv/phr_update_job.rb","=> e","false"
"rescue_no_raise","PagerDuty::CacheGlobalDowntime","app/sidekiq/pager_duty/cache_global_downtime.rb","Common::Exceptions::BackendServiceException, Common::Client::Errors::ClientError => e","false"
"rescue_no_raise","PagerDuty::PollMaintenanceWindows","app/sidekiq/pager_duty/poll_maintenance_windows.rb","Common::Exceptions::BackendServiceException, Common::Client::Errors::ClientError => e","false"
"rescue_no_raise","SimpleFormsApi::Notification::SendNotificationEmailJob","app/sidekiq/simple_forms_api/notification/send_notification_email_job.rb","=> e","false"
"rescue_no_raise","VANotifyDdEmailJob","app/sidekiq/va_notify_dd_email_job.rb","=> e","false"
"rescue_no_raise","AccreditedRepresentativePortal::DeleteOldSavedClaimsJob::ErrorHandler","modules/accredited_representative_portal/app/sidekiq/accredited_representative_portal/delete_old_saved_claims_job.rb","ActiveRecord::RecordNotDestroyed, ActiveRecord::ActiveRecordError => e | StandardError (implicit)","false"
"rescue_no_raise","AccreditedRepresentativePortal::ExpirePowerOfAttorneyRequestsJob","modules/accredited_representative_portal/app/sidekiq/accredited_representative_portal/expire_power_of_attorney_requests_job.rb","=> e","false"
"rescue_no_raise","AccreditedRepresentativePortal::PowerOfAttorneyFormSubmissionJob::PendingSubmissionError","modules/accredited_representative_portal/app/sidekiq/accredited_representative_portal/power_of_attorney_form_submission_job.rb","=> e","false"
"rescue_no_raise","AccreditedRepresentativePortal::PowerOfAttorneyRequestEmailJob","modules/accredited_representative_portal/app/sidekiq/accredited_representative_portal/power_of_attorney_request_email_job.rb","VANotify::Error => e","false"
