GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG
00966	8340957	4490	3.22	0.002	18.401521	-66.117597
00968	1185647	0	0.458	0.	18.406085	-66.101232
00969	12646726	39796	4.883	0.015	18.368062	-66.108062
00971	41344874	94184	15.963	0.036	18.318884	-66.11919
00976	43351319	735151	16.738	0.284	18.33618	-65.994101
00979	4047122	504520	1.563	0.195	18.444394	-66.030036
00982	3672316	19112	1.418	0.007	18.411261	-65.992045
00983	8971199	609866	3.464	0.235	18.416115	-65.975436
00985	21068682	747162	8.135	0.288	18.410774	-65.947927
00987	64342434	422661	24.843	0.163	18.338161	-65.941083
01001	29796888	2116484	11.505	0.817	42.062368	-72.625754
01002	142616784	4282875	55.065	1.654	42.364031	-72.458759
01003	1842387	12788	0.711	0.005	42.389698	-72.524009
01005	114638390	666424	44.262	0.257	42.418884	-72.112077
01007	136236046	6944233	52.601	2.681	42.27901	-72.400468
01008	139346412	5108938	53.802	1.973	42.190191	-72.954263
01009	2104351	0	0.812	0.	42.209669	-72.339743
01010	90054463	1421379	34.77	0.549	42.128176	-72.205352
01011	81830551	342669	31.595	0.132	42.290128	-72.966516
01012	33971460	543537	13.116	0.21	42.375425	-72.858192
01013	14588153	1711066	5.633	0.661	42.154903	-72.602804
01020	32439703	1009948	12.525	0.39	42.172611	-72.56192
01022	12360971	2118	4.773	0.001	42.197741	-72.542713
01026	62173902	332330	24.005	0.128	42.465495	-72.918267
01027	104893840	1205218	40.5	0.465	42.295008	-72.751877
01028	33505003	181607	12.936	0.07	42.062378	-72.498111
01029	41050309	5314949	15.85	2.052	42.193395	-73.044647
01030	30610703	484291	11.819	0.187	42.072925	-72.686972
01031	21012724	0	8.113	0.	42.32938	-72.198156
01032	30467676	887486	11.764	0.343	42.457613	-72.81478
01033	72039165	666977	27.814	0.258	42.244949	-72.500143
01034	185539510	5092045	71.637	1.966	42.093912	-72.961103
01035	59785005	3937745	23.083	1.52	42.356491	-72.568632
